author,authorLabel,birthDate,deathDate,countryLabel,mainWorkLabel,mainWork_missing,sitelink
http://www.wikidata.org/entity/Q99578897,María Antonia de Río y Arnedo,1775-01-01T00:00:00Z,1815-01-01T00:00:00Z,España,,yes,
http://www.wikidata.org/entity/Q5491433,Frasquita Larrea,1775-12-24T00:00:00Z,1838-08-24T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Frasquita_Larrea
http://www.wikidata.org/entity/Q8201097,Antonia Gutiérrez Bueno,1781-01-17T00:00:00Z,1874-04-06T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Antonia_Guti%C3%A9rrez_Bueno
http://www.wikidata.org/entity/Q11705052,Vicenta Moguel,1782-06-06T00:00:00Z,1854-09-29T00:00:00Z,España,Ipui onac,,https://es.wikipedia.org/wiki/Vicenta_Moguel
http://www.wikidata.org/entity/Q12263218,María del Pilar Acedo y Sarria,1784-01-01T00:00:00Z,1869-02-27T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_del_Pilar_Acedo_y_Sarri%C3%A1
http://www.wikidata.org/entity/Q5997059,Margarita López de Morla y Virués de Segovia,1788-07-03T00:00:00Z,1850-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Margarita_L%C3%B3pez_de_Morla_y_Viru%C3%A9s
http://www.wikidata.org/entity/Q19458508,María Guadalupe Cuenca de Moreno,1790-01-01T00:00:00Z,1854-09-01T00:00:00Z,Bolivia,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Guadalupe_Cuenca
http://www.wikidata.org/entity/Q20005652,Maria Agnès Ribera Garau,1790-01-01T00:00:00Z,1861-11-22T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Maria_Agn%C3%A8s_Ribera_Garau
http://www.wikidata.org/entity/Q116831668,Luisa Sáenz de Viniegra,1792-01-01T00:00:00Z,1865-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Luisa_Carlota_S%C3%A1enz_de_Viniegra
http://www.wikidata.org/entity/Q134676741,Patricia Gayán,1792-09-22T00:00:00Z,,España,,yes,
http://www.wikidata.org/entity/Q6160970,Vicenta Maturana,1793-07-06T00:00:00Z,1859-05-15T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Vicenta_Maturana
http://www.wikidata.org/entity/Q108560601,Josefa Gordon de Jove,1796-01-01T00:00:00Z,1850-01-01T00:00:00Z,,,yes,
http://www.wikidata.org/entity/Q6782028,María Josefa García Granados,1796-07-10T00:00:00Z,1848-07-28T00:00:00Z,Guatemala,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Garc%C3%ADa_Granados
http://www.wikidata.org/entity/Q291397,Fernán Caballero,1796-12-24T00:00:00Z,1877-04-07T00:00:00Z,España,La familia de Alvareda: Novela de costumbres populares,,https://es.wikipedia.org/wiki/Fern%C3%A1n_Caballero
http://www.wikidata.org/entity/Q16601458,María Manuela López de Ulloa,1800-01-01T00:00:00Z,1900-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Manuela_L%C3%B3pez_de_Ulloa
http://www.wikidata.org/entity/Q9030069,María Larraín de Vicuña,1801-01-01T00:00:00Z,1928-09-23T00:00:00Z,Chile,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Larra%C3%ADn_de_Vicu%C3%B1a
http://www.wikidata.org/entity/Q135089377,Justa García Robledo,1801-01-01T00:00:00Z,http://www.wikidata.org/.well-known/genid/818772cc21a23e4316a814f16116b43c,Perú,,yes,https://es.wikipedia.org/wiki/Justa_Garc%C3%ADa_Robledo
http://www.wikidata.org/entity/Q114774387,Walda Lucenqui de Pimentel,1801-01-01T00:00:00Z,,España,,yes,https://es.wikipedia.org/wiki/Walda_Lucenqui
http://www.wikidata.org/entity/Q502284,María Josefa Acevedo de Gómez,1803-01-23T00:00:00Z,1861-01-19T00:00:00Z,Colombia,,yes,https://es.wikipedia.org/wiki/Mar%C3%ADa_Josefa_Acevedo_de_G%C3%B3mez
