author,authorLabel,birthDate,deathDate,countryLabel,mainWorkLabel,mainWork_missing,sitelink
http://www.wikidata.org/entity/Q4776892,Antonio Puigblanch,1775-01-01T00:00:00Z,1840-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Antonio_Puigblanch
http://www.wikidata.org/entity/Q20536047,José Verea y Aguiar,1775-01-01T00:00:00Z,1849-04-17T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Jos%C3%A9_Verea_y_Aguiar
http://www.wikidata.org/entity/Q18285985,Ramón de los Santos García Pérez,1775-01-01T00:00:00Z,1847-01-02T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Ram%C3%B3n_de_los_Santos_Garc%C3%ADa_P%C3%A9rez
http://www.wikidata.org/entity/Q20013896,Casiano Pellicer,1775-01-01T00:00:00Z,1806-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Casiano_Pellicer
http://www.wikidata.org/entity/Q5884009,Graciliano Afonso,1775-01-01T00:00:00Z,1861-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Graciliano_Afonso
http://www.wikidata.org/entity/Q12936939,Tomàs Aguiló i Cortès,1775-01-01T00:00:00Z,1856-01-01T00:00:00Z,España,,yes,
http://www.wikidata.org/entity/Q97924975,Ignacio Graells y Ferrer,1775-01-26T00:00:00Z,1856-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Ignacio_Graells
http://www.wikidata.org/entity/Q6700816,Luis María Balanzat de Orvay y Briones,1775-03-27T00:00:00Z,1843-02-09T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Balanzat_de_Orvay_y_Briones
http://www.wikidata.org/entity/Q3047406,"José María Blanco Crespo ""Blanco White""",1775-07-11T00:00:00Z,1841-05-20T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Blanco_White
http://www.wikidata.org/entity/Q724883,Alberto Lista,1775-10-15T00:00:00Z,1848-10-05T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Alberto_Lista
http://www.wikidata.org/entity/Q5867472,Francisco Severo Maldonado,1775-11-07T00:00:00Z,1832-05-08T00:00:00Z,México,,yes,https://es.wikipedia.org/wiki/Francisco_Severo_Maldonado
http://www.wikidata.org/entity/Q50674241,Blas Ostolaza,1775-11-17T00:00:00Z,1835-08-06T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Blas_Ostolaza
http://www.wikidata.org/entity/Q5511619,Félix Mejía,1776-01-01T00:00:00Z,1853-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/F%C3%A9lix_Mej%C3%ADa
http://www.wikidata.org/entity/Q5690321,Francisco de Paula Castañeda,1776-01-01T00:00:00Z,1832-01-01T00:00:00Z,Argentina,,yes,https://es.wikipedia.org/wiki/Francisco_de_Paula_Casta%C3%B1eda
http://www.wikidata.org/entity/Q17297275,Josep Sanxo i Sanxo,1776-01-01T00:00:00Z,1847-01-01T00:00:00Z,España,,yes,
http://www.wikidata.org/entity/Q124474545,Luis Mendizabal y Zubialdea,1776-01-01T00:00:00Z,1834-01-01T00:00:00Z,México,,yes,
http://www.wikidata.org/entity/Q770092,András Angyalffy Mátyás,1776-02-05T00:00:00Z,1839-03-17T00:00:00Z,Hungría,,yes,
http://www.wikidata.org/entity/Q351250,Vicente Salias,1776-03-23T00:00:00Z,1814-09-17T00:00:00Z,Venezuela,,yes,https://es.wikipedia.org/wiki/Vicente_Salias
http://www.wikidata.org/entity/Q5947301,Juan Antonio González Montero,1776-06-12T00:00:00Z,1899-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Juan_Antonio_Gonz%C3%A1lez_Montero
http://www.wikidata.org/entity/Q5850629,Eugenio de Tapia García,1776-07-18T00:00:00Z,1860-08-04T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Eugenio_de_Tapia_Garc%C3%ADa
http://www.wikidata.org/entity/Q5750203,Bartolomé José Gallardo,1776-08-13T00:00:00Z,1852-09-14T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Bartolom%C3%A9_Jos%C3%A9_Gallardo
http://www.wikidata.org/entity/Q48368,José Joaquín Fernández de Lizardi,1776-11-15T00:00:00Z,1827-06-21T00:00:00Z,México,El Periquillo Sarniento,,https://es.wikipedia.org/wiki/Jos%C3%A9_Joaqu%C3%ADn_Eugenio_Fern%C3%A1ndez_de_Lizardi_Guti%C3%A9rrez
http://www.wikidata.org/entity/Q125743,Carlos Anaya,1777-01-01T00:00:00Z,1862-01-01T00:00:00Z,Uruguay,,yes,https://es.wikipedia.org/wiki/Carlos_Anaya
http://www.wikidata.org/entity/Q9014294,José Manuel de Vadillo,1777-01-01T00:00:00Z,1858-01-08T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_Vadillo
http://www.wikidata.org/entity/Q5791914,Cristóbal de Beña,1777-01-01T00:00:00Z,1833-01-01T00:00:00Z,España,,yes,https://es.wikipedia.org/wiki/Crist%C3%B3bal_de_Be%C3%B1a
http://www.wikidata.org/entity/Q5950919,Juan Manuel Beruti,1777-01-01T00:00:00Z,1856-01-28T00:00:00Z,Argentina,,yes,https://es.wikipedia.org/wiki/Juan_Manuel_Beruti
http://www.wikidata.org/entity/Q12266779,Jean-Baptiste Salaberri,1777-01-01T00:00:00Z,1900-01-01T00:00:00Z,España,,yes,
