author,authorLabel,birthDate,deathDate,awardLabel,sitelink
http://www.wikidata.org/entity/Q6700816,Luis María Balanzat de Orvay y Briones,1775-03-27T00:00:00Z,1843-02-09T00:00:00Z,Cruz Laureada de San Fernando,https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Balanzat_de_Orvay_y_Briones
http://www.wikidata.org/entity/Q6700816,Luis María Balanzat de Orvay y Briones,1775-03-27T00:00:00Z,1843-02-09T00:00:00Z,Gran Cruz de la Orden de San Hermenegildo,https://es.wikipedia.org/wiki/Luis_Mar%C3%ADa_Balanzat_de_Orvay_y_Briones
http://www.wikidata.org/entity/Q9014294,José Manuel de Vadillo,1777-01-01T00:00:00Z,1858-01-08T00:00:00Z,Gran Cruz de la Orden de Carlos III,https://es.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_Vadillo
http://www.wikidata.org/entity/Q3087826,Javier de Burgos,1778-10-22T00:00:00Z,1848-01-22T00:00:00Z,Gran Cruz de la Orden de Isabel la Católica,https://es.wikipedia.org/wiki/Javier_de_Burgos
http://www.wikidata.org/entity/Q822892,Bernardino Fernández de Velasco y Benavides,1783-01-01T00:00:00Z,1851-05-28T00:00:00Z,Gran Cruz de la Orden de Carlos III,https://es.wikipedia.org/wiki/Bernardino_Fern%C3%A1ndez_de_Velasco_(1783-1851)
http://www.wikidata.org/entity/Q822892,Bernardino Fernández de Velasco y Benavides,1783-01-01T00:00:00Z,1851-05-28T00:00:00Z,Caballero de la Orden del Toisón de Oro,https://es.wikipedia.org/wiki/Bernardino_Fern%C3%A1ndez_de_Velasco_(1783-1851)
http://www.wikidata.org/entity/Q822892,Bernardino Fernández de Velasco y Benavides,1783-01-01T00:00:00Z,1851-05-28T00:00:00Z,Condecoración de la flor de Lis,https://es.wikipedia.org/wiki/Bernardino_Fern%C3%A1ndez_de_Velasco_(1783-1851)
http://www.wikidata.org/entity/Q5699506,Antonio Remón Zarco del Valle y Huet,1785-05-30T00:00:00Z,1866-04-20T00:00:00Z,Gran Cruz de la Orden de Carlos III,https://es.wikipedia.org/wiki/Antonio_Rem%C3%B3n_Zarco_del_Valle_y_Huet
http://www.wikidata.org/entity/Q5699506,Antonio Remón Zarco del Valle y Huet,1785-05-30T00:00:00Z,1866-04-20T00:00:00Z,Gran Cruz de la Orden de Isabel la Católica,https://es.wikipedia.org/wiki/Antonio_Rem%C3%B3n_Zarco_del_Valle_y_Huet
http://www.wikidata.org/entity/Q5699506,Antonio Remón Zarco del Valle y Huet,1785-05-30T00:00:00Z,1866-04-20T00:00:00Z,Caballero de la Orden del Toisón de Oro,https://es.wikipedia.org/wiki/Antonio_Rem%C3%B3n_Zarco_del_Valle_y_Huet
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Gran Cruz de la Orden Nacional de la Cruz del Sur,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Caballero gran cruz de la Orden de los Santos Mauricio y Lázaro,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Caballero de la Orden del Toisón de Oro,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Gran Cruz de la Orden Nacional de la Legión de Honor,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Caballero Gran Cruz de la Orden del León Holandés,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q27357,Francisco Martínez de la Rosa,1787-03-10T00:00:00Z,1862-02-07T00:00:00Z,Orden de San Jenaro,https://es.wikipedia.org/wiki/Francisco_Mart%C3%ADnez_de_la_Rosa
http://www.wikidata.org/entity/Q2918217,José María Pando,1787-03-28T00:00:00Z,1840-11-23T00:00:00Z,Cruz de la Orden de Carlos III,https://es.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Pando
http://www.wikidata.org/entity/Q11183848,Rodrigo Echevarría y Briones,1790-04-17T00:00:00Z,1875-12-21T00:00:00Z,Gran Cruz de la Orden de Isabel la Católica,https://es.wikipedia.org/wiki/Rodrigo_Echevarr%C3%ADa_y_Briones
http://www.wikidata.org/entity/Q155463,Duque de Rivas,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,Knight of Pius IX,https://es.wikipedia.org/wiki/Duque_de_Rivas
http://www.wikidata.org/entity/Q155463,Duque de Rivas,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,Caballero de la Orden del Toisón de Oro,https://es.wikipedia.org/wiki/Duque_de_Rivas
http://www.wikidata.org/entity/Q155463,Duque de Rivas,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,Orden de Santiago,https://es.wikipedia.org/wiki/Duque_de_Rivas
http://www.wikidata.org/entity/Q155463,Duque de Rivas,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,Orden del Toisón de Oro,https://es.wikipedia.org/wiki/Duque_de_Rivas
http://www.wikidata.org/entity/Q155463,Duque de Rivas,1791-03-10T00:00:00Z,1865-06-22T00:00:00Z,Orden de San Juan de Jerusalén,https://es.wikipedia.org/wiki/Duque_de_Rivas
http://www.wikidata.org/entity/Q1408091,George Ticknor,1791-08-01T00:00:00Z,1871-01-26T00:00:00Z,Miembro de la Academia Estadounidense de las Artes y las Ciencias,https://es.wikipedia.org/wiki/George_Ticknor
