author,authorLabel,birthDate,sitelinks
http://www.wikidata.org/entity/Q99578897,María Antonia de Río y Arnedo,1775-01-01T00:00:00Z,0
http://www.wikidata.org/entity/Q5491433,Frasquita Larrea,1775-12-24T00:00:00Z,4
http://www.wikidata.org/entity/Q8201097,Antonia Gutiérrez Bueno,1781-01-17T00:00:00Z,3
http://www.wikidata.org/entity/Q11705052,Vicenta Moguel,1782-06-06T00:00:00Z,8
http://www.wikidata.org/entity/Q6781927,María Bibiana Benítez,1783-12-10T00:00:00Z,4
http://www.wikidata.org/entity/Q12263218,María del Pilar Acedo y Sarria,1784-01-01T00:00:00Z,7
http://www.wikidata.org/entity/Q5997059,Margarita López de Morla y Virués de Segovia,1788-07-03T00:00:00Z,1
http://www.wikidata.org/entity/Q19458508,María Guadalupe Cuenca de Moreno,1790-01-01T00:00:00Z,7
http://www.wikidata.org/entity/Q20005652,Maria Agnès Ribera Garau,1790-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q116831668,Luisa Sáenz de Viniegra,1792-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q134676741,Patricia Gayán,1792-09-22T00:00:00Z,1
http://www.wikidata.org/entity/Q6160970,Vicenta Maturana,1793-07-06T00:00:00Z,2
http://www.wikidata.org/entity/Q108560601,Josefa Gordon de Jove,1796-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q6782028,María Josefa García Granados,1796-07-10T00:00:00Z,9
http://www.wikidata.org/entity/Q291397,Fernán Caballero,1796-12-24T00:00:00Z,35
http://www.wikidata.org/entity/Q16601458,María Manuela López de Ulloa,1800-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q9030069,María Larraín de Vicuña,1801-01-01T00:00:00Z,6
http://www.wikidata.org/entity/Q114774387,Walda Lucenqui de Pimentel,1801-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q135089377,Justa García Robledo,1801-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q89030855,Eliza Foster,1802-07-25T00:00:00Z,4
http://www.wikidata.org/entity/Q502284,María Josefa Acevedo de Gómez,1803-01-23T00:00:00Z,9
http://www.wikidata.org/entity/Q1571996,Mercedes Marín del Solar,1804-09-11T00:00:00Z,8
http://www.wikidata.org/entity/Q5946701,Juana de Vega,1805-03-07T00:00:00Z,6
http://www.wikidata.org/entity/Q5752445,Carmen Arriagada,1807-01-01T00:00:00Z,5
http://www.wikidata.org/entity/Q5850682,Eulalia de Llanos,1809-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q27268309,Ángela Mazzini Bricala,1809-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q28950269,Nicolasa Añón Paz,1810-02-28T00:00:00Z,2
http://www.wikidata.org/entity/Q3604796,María Josefa Massanés,1811-03-19T00:00:00Z,9
http://www.wikidata.org/entity/Q6004015,María Josefa Mujía,1812-01-01T00:00:00Z,10
http://www.wikidata.org/entity/Q4750435,Ana María Martínez de Nisser,1812-12-06T00:00:00Z,3
http://www.wikidata.org/entity/Q19447701,Joaquina López de Madariaga,1813-09-12T00:00:00Z,3
http://www.wikidata.org/entity/Q283353,Gertrudis Gómez de Avellaneda,1814-03-23T00:00:00Z,27
http://www.wikidata.org/entity/Q108514401,Indalecia Camacho,1815-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q47491334,Sabina de Alvear y Ward,1815-11-08T00:00:00Z,2
http://www.wikidata.org/entity/Q59215061,Vicenta García Miranda,1816-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q21028344,Dolores Gómez de Cádiz,1818-12-25T00:00:00Z,1
http://www.wikidata.org/entity/Q110390598,Q110390598,1819-01-14T00:00:00Z,2
http://www.wikidata.org/entity/Q542700,Alejandrina Benítez de Gautier,1819-02-26T00:00:00Z,3
http://www.wikidata.org/entity/Q1710713,Juana Manso,1819-06-26T00:00:00Z,14
http://www.wikidata.org/entity/Q671852,Concepción Arenal Ponte,1820-01-31T00:00:00Z,29
http://www.wikidata.org/entity/Q941605,Carolina Coronado,1820-12-12T00:00:00Z,28
http://www.wikidata.org/entity/Q20534136,Virginia Felicia Auber,1821-01-01T00:00:00Z,9
http://www.wikidata.org/entity/Q23830064,Rosa Butler y Mendieta,1821-01-01T00:00:00Z,4
http://www.wikidata.org/entity/Q56547239,Manuela Cambronero,1821-02-12T00:00:00Z,3
http://www.wikidata.org/entity/Q6110207,Robustiana Armiño,1821-08-20T00:00:00Z,5
http://www.wikidata.org/entity/Q6004306,María Mendoza de Vives,1821-12-19T00:00:00Z,7
http://www.wikidata.org/entity/Q63435514,María Josefa Zapata,1822-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q4739407,Amalia de Llano,1822-04-29T00:00:00Z,9
http://www.wikidata.org/entity/Q30904855,Antonina Cortés Llanos,1823-01-17T00:00:00Z,2
http://www.wikidata.org/entity/Q5650072,Ángela Grassi,1823-08-02T00:00:00Z,8
http://www.wikidata.org/entity/Q433098,Charlotte Yonge,1823-08-11T00:00:00Z,25
http://www.wikidata.org/entity/Q63952238,Agustina Palacio de Libarona,1825-02-01T00:00:00Z,3
http://www.wikidata.org/entity/Q20100274,Amalia Fenollosa Peris,1825-02-08T00:00:00Z,2
http://www.wikidata.org/entity/Q3284672,Avelina Valladares,1825-10-23T00:00:00Z,5
http://www.wikidata.org/entity/Q80320814,María Concepción Saralegui Lorente,1825-12-05T00:00:00Z,0
http://www.wikidata.org/entity/Q100774211,Rosa Mercedes Riglos,1826-01-01T00:00:00Z,2
http://www.wikidata.org/entity/Q5697567,Antonia Díaz Fernández de Lamarque,1827-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q11954706,Victoria Penya de Amer,1827-03-28T00:00:00Z,8
http://www.wikidata.org/entity/Q16889097,Cipriana Álvarez Durán,1827-09-16T00:00:00Z,5
http://www.wikidata.org/entity/Q21666066,Teresa Arroniz y Bosch,1827-10-15T00:00:00Z,4
http://www.wikidata.org/entity/Q20876489,Pilar Pascual de Sanjuán,1827-10-23T00:00:00Z,6
http://www.wikidata.org/entity/Q6004354,María Nestora Téllez,1828-01-01T00:00:00Z,3
http://www.wikidata.org/entity/Q20016241,Isabel Pesado de Mier,1828-01-01T00:00:00Z,1
http://www.wikidata.org/entity/Q18987065,Rogelia León,1828-09-15T00:00:00Z,4
