author,authorLabel,birthName,pseudonymLabel,birthDate
http://www.wikidata.org/entity/Q291397,Fernán Caballero,Cecilia Francisca Josefa Böhl de Faber Ruiz de Larrea,Fernán Caballero,1796-12-24T00:00:00Z
http://www.wikidata.org/entity/Q21666066,Teresa Arroniz y Bosch,Teresa Arroniz y Bosch,Gabriel de los Arcos,1827-10-15T00:00:00Z
http://www.wikidata.org/entity/Q28916912,Marcelina Almeida,Marcelina Almeida Abel,Abel,1830-01-01T00:00:00Z
http://www.wikidata.org/entity/Q17339922,Matilde Cherner,,Rafael Luna,1833-01-01T00:00:00Z
http://www.wikidata.org/entity/Q6077590,Isabel Cheix,,Martín Ávila,1839-01-18T00:00:00Z
http://www.wikidata.org/entity/Q6066919,Patrocinio de Biedma y la Moneda,Patrocinio de Biedma y la Moneda,Ticiano Imab,1848-03-13T00:00:00Z
http://www.wikidata.org/entity/Q70835742,Pastora Echegaray,Pastora Echegaray Eizaguirre,Jorge Lacosta,1850-09-28T00:00:00Z
http://www.wikidata.org/entity/Q3941395,Rosario de Acuña,María del Rosario de Acuña y Villanueva,Remigio Andrés Delafón,1850-11-01T00:00:00Z
http://www.wikidata.org/entity/Q98028901,Antonia Opisso,Antònia Opisso i Viñas,Ricardo de los Ríos,1855-04-16T00:00:00Z
http://www.wikidata.org/entity/Q5796205,Emma de la Barra,,César Duáyen,1861-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5752699,Carmen de Burgos,María del Carmen Ramona Loreta de Burgos y Seguí,Raquel,1867-12-10T00:00:00Z
http://www.wikidata.org/entity/Q2914475,Caterina Albert,Caterina Albert i Paradís,Víctor Català,1869-09-11T00:00:00Z
http://www.wikidata.org/entity/Q3394045,Ángeles Sorazu,Florencia Sorazu y Aizpurúa,Ángeles Sorazu,1873-02-22T00:00:00Z
http://www.wikidata.org/entity/Q3290933,Maria Doménech,Maria Domènech i Escoté,Josep Miralles,1874-04-21T00:00:00Z
http://www.wikidata.org/entity/Q42382175,Basilisa Fernández Morales,,René Basyl,1882-07-24T00:00:00Z
